SMILES,MoleculeName
Fc1c[c-]c(-c2cn(Cc3ccccc3)nn2)c(F)c1.Fc1c[c-]c(-c2cn(Cc3ccccc3)nn2)c(F)c1.[Ir+4].c1ccc(Cn2cc(-c3ccccn3)nn2)cc1,Ir(dFphtl)2PytlBn+
Fc1c[c-]c(-c2cn(Cc3ccccc3)nn2)c(F)c1.Fc1c[c-]c(-c2cn(Cc3ccccc3)nn2)c(F)c1.[Ir+4].c1ccc(-n2cc(-c3ccccn3)nn2)cc1,Ir(dFphtl)2PytlPh+
Fc1c[c-]c(-c2ccccn2)c(F)c1.Fc1c[c-]c(-c2ccccn2)c(F)c1.[C-]#N.[C-]#N.[Ir+4],Ir(dfppy)2(CN)2-
C(\C1=N[C@@H](c2ccccc2)CO1)=C1\[N-][C@H](c2ccccc2)CO1.Fc1c[c-]c(-c2ccccn2)c(F)c1.Fc1c[c-]c(-c2ccccn2)c(F)c1.[Ir+4],Ir(dFppy)2(dPh-box)
Fc1c[c-]c(-c2ccccn2)c(F)c1.Fc1c[c-]c(-c2ccccn2)c(F)c1.[Ir+4].c1ccc(-n2cccn2)nc1,Ir(dfppy)2(pzpy)+
CC(=O)/C=C(/C)[O-].Fc1c[c-]c(-c2ccccn2)c(F)c1.Fc1c[c-]c(-c2ccccn2)c(F)c1.[Ir+4],Ir(dFppy)2acac
C(\C1=NCCO1)=C1\[N-]CCO1.Fc1c[c-]c(-c2ccccn2)c(F)c1.Fc1c[c-]c(-c2ccccn2)c(F)c1.[Ir+4],Ir(dFppy)2box
Fc1c[c-]c(-n2cccn2)c(F)c1.Fc1c[c-]c(-n2cccn2)c(F)c1.[Ir+4].c1ccc(-c2nc(-c3ccccn3)n(-c3ccccc3)n2)cc1,Ir(dfppz)2Phtz+
[Ir+4].[c-]1ccccc1-[n+]1[c-]n(-c2ccccc2)c2ccccc21.[c-]1ccccc1-n1[c-][n+](-c2ccccc2)c2ccccc21.[c-]1ccccc1-n1[c-][n+](-c2ccccc2)c2ccccc21,Ir(dpbic)3
[Ir+4].[c-]1ccccc1-[n+]1[c-]n(-c2ccccc2)c2cc3ccccc3cc21.[c-]1ccccc1-[n+]1[c-]n(-c2ccccc2)c2cc3ccccc3cc21.[c-]1ccccc1-[n+]1[c-]n(-c2ccccc2)c2cc3ccccc3cc21,Ir(dpnic)3
[Ir+4].[c-]1ccccc1-c1nnc(-c2ccccc2)o1.[c-]1ccccc1-c1nnc(-c2ccccc2)o1.c1ccc(-c2ccccn2)nc1,Ir(dpodz)2(bpy)+
[Ir+4].[c-]1ccccc1-c1ncc(-c2ccccc2)o1.[c-]1ccccc1-c1ncc(-c2ccccc2)o1.c1ccc(-c2ccccn2)nc1,Ir(dpoz)2(bpy)+
Cc1cc(C)c(-c2ccccn2)[c-]c1-c1ccccn1.[Cl-].[Ir+4].[c-]1ccccc1-c1ccccn1,Ir(dpyx)(ppy)Cl
